"id","trial","trial_index","abstract","treatment","treatment_string","general_topic","abstract_title","abstract_text","stimulus","decision1_resp","decision1_rt","for_resp","for_resp_factor","for_rt","decision2_resp","decision2_rt","rethink_resp","rethink_rt","read1_rt","read2_rt","study_duration_minutes"
76,3,18,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",39,2777,5,6,1940,40,2781,1,856,11724,868,18.2267166666667
26,8,47,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",69,2551,6,7,2071,69,2574,0,767,10063,NA,18.1592166666667
45,13,78,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",52,2092,5,6,3565,53,1919,0,1235,19802,NA,19.0424
33,11,72,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",92,4960,6,7,2699,92,3636,0,1315,22727,NA,35.3196166666667
52,6,39,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",9,4831,4,5,2823,50,3077,1,1596,22920,6850,56.4502666666667
1,4,23,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",48,4877,5,6,3389,78,21774,0,1047,19699,NA,18.2111333333333
40,7,47,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",58,5095,2,3,3877,59,3090,1,1380,29247,15231,21.1929333333333
8,16,98,1,1,"conservative","Terrorism in Italy","Aldo Moro kidnapping conducted by left-wing terrorists","This paper revisits the 1978 kidnapping and murder of Aldo Moro, the former prime minister and then-president of the Democrazia Cristiana party, an event orchestrated by the communist terror organization Brigate Rosse. The paper demonstrates how this event highlighted the dangers posed by domestic left-wing terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat left-wing extremism and terror in Italy.","text/1b.html_decision1",40,3953,4,5,2429,39,1409,0,943,12561,NA,18.27305
47,17,101,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",71,3871,5,6,2449,70,2263,0,1206,18168,NA,14.3545333333333
66,9,61,1,-1,"progressive","Terrorism in Italy","Strage di Bologna conducted by right-wing terrorists","This paper revisits the 1980 Strage di Bologna, a bombing at Bologna Central Station that resulted in 85 deaths and over 200 injuries, an event orchestrated by the neofascist terror organization Nuclei Armati Rivoluzionari. The paper demonstrates how this event highlighted the dangers posed by domestic neofascist terrorist groups and their impact on Italian society. By analyzing legal and parliamentary documents, this paper traces a genealogy of legal and political reforms to combat right-wing extremism and terror in Italy.","text/1a.html_decision1",67,3822,3,4,3431,61,3749,1,2091,13543,5907,19.6713333333333
